书名,作品信息,得分
西线无战事,[德] 埃里希·玛丽亚·雷马克 / 姜乙 / 上海文艺出版社 / 2021-1 / 49,9.4
额尔古纳河右岸,迟子建 / 人民文学出版社 / 2019-6-1 / 32.00元,9.0
鹿鼎记,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.9
斯通纳,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,8.8
流俗地,[马来西亚] 黎紫书 / 北京十月文艺出版社 / 2021-4-1 / 55.00元,9.2
陆犯焉识,严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.9
面纱,[英] 威廉·萨默塞特·毛姆 / 于大卫 / 江西人民出版社 / 2016-4-1 / 39.8元,9.0
人间草木,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,9.2
南京大屠杀,[美]张纯如（Iris Chang） / 谭春霞 / 中信出版社 / 2015-8 / 49.00元,9.7
克莱因壶,[日] 冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,8.9
平面国,[英] 埃德温·A.艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元,9.2
边城,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.7
梦里花落知多少,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8
十万个为什么,少年儿童出版社 / 1962 / 30.00元,9.2
时间简史,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,8.9
王尔德童话,[英] 王尔德 / 王林 / 译林出版社 / 2003-6 / 6.00元,9.1
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00,8.9
金色梦乡,[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,9.0
13 67,陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350,9.1
这些人，那些事,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8
昨日的世界,[奥] 斯特凡·茨威格 / 徐友敬 / 上海译文出版社 / 2018-7 / 49.00元,9.4
我的天才女友,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.7
绿毛水怪,王小波 / 时代文艺出版社 / 2009-1 / 30.00元,9.1
一句顶一万句,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.8
故事,[美] 罗伯特·麦基 / 周铁东 / 天津人民出版社 / 2014-9 / 68.00元,9.2
你当像鸟飞往你的山,塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,8.7
2001：太空漫游,[英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-4-10 / 62.00元,9.3
长日将尽,[英] 石黑一雄 / 冯涛 / 上海译文出版社 / 2018-5 / 48,8.9
檀香刑,莫言 / 浙江文艺出版社 / 2017-1 / 56.00元,9.3
经济学原理（上下）,[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,9.1
地下室手记,(俄罗斯) 陀思妥耶夫斯基 / 曾思艺 / 浙江文艺出版社 / 2020-5 / 39.8,9.2
海的女儿,安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43,9.1
阿勒泰的角落,李娟 / 万卷出版公司 / 2010-6 / 25.00元,9.1
國史大綱（上下）,錢穆 / 商务印书馆 / 2013-8 / 76.00元,9.4
鹿川有许多粪,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,8.9
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 / 草婴 / 上海文艺出版社 / 2007-8 / 37.00元,9.2
强风吹拂,三浦紫苑 / 林佩瑾 / 广西师范大学出版社 / 2015-1-1 / 39.00元,9.0
苏菲的世界,[挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元,8.8
