书名: 筚路维艰, 作品信息: 萧冬连 / 社会科学文献出版社 / 2014-10-1 / 45.00元, 得分：9.5
书名: 巨人的陨落, 作品信息: [英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / CNY 129.80, 得分：8.9
书名: 我们仨, 作品信息: 杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元, 得分：8.8
书名: 遥远的向日葵地, 作品信息: 李娟 / 花城出版社 / 2017-11 / 38.00元, 得分：9.1
书名: 受戒, 作品信息: 汪曾祺 / 漓江出版社 / 1987-10 / 3.95元, 得分：9.3
书名: 看不见的城市, 作品信息: [意] 伊塔洛·卡尔维诺 / 张密 / 译林出版社 / 2012-4 / 25.00元, 得分：9.0
书名: 教父, 作品信息: [美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元, 得分：9.0
书名: 一间只属于自己的房间, 作品信息: [英] 弗吉尼亚·伍尔夫 / 周颖琪 / 天津人民出版社 / 2019-10 / 45.00元, 得分：9.2
书名: 海子的诗, 作品信息: 海子 / 人民文学出版社 / 1999-04 / 15.40, 得分：9.0
书名: 人生的智慧, 作品信息: (德)叔本华 / 韦启昌 / 上海人民出版社 / 2008-10-01 / 28.00元, 得分：9.2
书名: 飞鸟集, 作品信息: [印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元, 得分：8.9
书名: 茶馆, 作品信息: 老舍 / 人民文学出版社 / 2002-1 / 9.80元, 得分：9.2
书名: 少年凯歌, 作品信息: 人民文学出版社 / 2001-6 / 10.00元, 得分：9.3
书名: 西线无战事, 作品信息: [德] 埃里希·玛丽亚·雷马克 / 姜乙 / 上海文艺出版社 / 2021-1 / 49, 得分：9.4
书名: 额尔古纳河右岸, 作品信息: 迟子建 / 人民文学出版社 / 2019-6-1 / 32.00元, 得分：9.0
书名: 鹿鼎记, 作品信息: 金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元, 得分：8.9
书名: 斯通纳, 作品信息: [美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元, 得分：8.8
书名: 流俗地, 作品信息: [马来西亚] 黎紫书 / 北京十月文艺出版社 / 2021-4-1 / 55.00元, 得分：9.2
书名: 陆犯焉识, 作品信息: 严歌苓 / 作家出版社 / 2011-10 / 35.00元, 得分：8.9
书名: 面纱, 作品信息: [英] 威廉·萨默塞特·毛姆 / 于大卫 / 江西人民出版社 / 2016-4-1 / 39.8元, 得分：9.0
书名: 人间草木, 作品信息: 汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元, 得分：9.2
书名: 南京大屠杀, 作品信息: [美]张纯如（Iris Chang） / 谭春霞 / 中信出版社 / 2015-8 / 49.00元, 得分：9.7
书名: 克莱因壶, 作品信息: [日] 冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元, 得分：8.9
书名: 平面国, 作品信息: [英] 埃德温·A.艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元, 得分：9.2
书名: 边城, 作品信息: 沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元, 得分：8.7
书名: 梦里花落知多少, 作品信息: 三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元, 得分：8.8
书名: 十万个为什么, 作品信息: 少年儿童出版社 / 1962 / 30.00元, 得分：9.2
书名: 时间简史, 作品信息: [英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元, 得分：8.9
书名: 王尔德童话, 作品信息: [英] 王尔德 / 王林 / 译林出版社 / 2003-6 / 6.00元, 得分：9.1
书名: 小径分岔的花园, 作品信息: [阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00, 得分：8.9
书名: 金色梦乡, 作品信息: [日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元, 得分：9.0
书名: 13 67, 作品信息: 陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350, 得分：9.1
书名: 这些人，那些事, 作品信息: 吴念真 / 译林出版社 / 2011-9 / 28.00元, 得分：8.8
书名: 昨日的世界, 作品信息: [奥] 斯特凡·茨威格 / 徐友敬 / 上海译文出版社 / 2018-7 / 49.00元, 得分：9.4
书名: 我的天才女友, 作品信息: [意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元, 得分：8.7
书名: 绿毛水怪, 作品信息: 王小波 / 时代文艺出版社 / 2009-1 / 30.00元, 得分：9.1
书名: 一句顶一万句, 作品信息: 刘震云 / 长江文艺出版社 / 2009-3 / 29.80, 得分：8.8
书名: 故事, 作品信息: [美] 罗伯特·麦基 / 周铁东 / 天津人民出版社 / 2014-9 / 68.00元, 得分：9.2
书名: 你当像鸟飞往你的山, 作品信息: 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元, 得分：8.7
书名: 2001：太空漫游, 作品信息: [英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-4-10 / 62.00元, 得分：9.3
书名: 长日将尽, 作品信息: [英] 石黑一雄 / 冯涛 / 上海译文出版社 / 2018-5 / 48, 得分：8.9
书名: 檀香刑, 作品信息: 莫言 / 浙江文艺出版社 / 2017-1 / 56.00元, 得分：9.3
书名: 经济学原理（上下）, 作品信息: [美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元, 得分：9.1
书名: 地下室手记, 作品信息: (俄罗斯) 陀思妥耶夫斯基 / 曾思艺 / 浙江文艺出版社 / 2020-5 / 39.8, 得分：9.2
书名: 海的女儿, 作品信息: 安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43, 得分：9.1
书名: 阿勒泰的角落, 作品信息: 李娟 / 万卷出版公司 / 2010-6 / 25.00元, 得分：9.1
书名: 國史大綱（上下）, 作品信息: 錢穆 / 商务印书馆 / 2013-8 / 76.00元, 得分：9.4
书名: 鹿川有许多粪, 作品信息: 李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元, 得分：8.9
书名: 安娜·卡列尼娜, 作品信息: [俄] 列夫·托尔斯泰 / 草婴 / 上海文艺出版社 / 2007-8 / 37.00元, 得分：9.2
书名: 强风吹拂, 作品信息: 三浦紫苑 / 林佩瑾 / 广西师范大学出版社 / 2015-1-1 / 39.00元, 得分：9.0
书名: 苏菲的世界, 作品信息: [挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元, 得分：8.8
书名: 一个陌生女人的来信, 作品信息: [奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元, 得分：8.7
书名: 温柔的夜, 作品信息: 三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元, 得分：9.1
书名: 爱的艺术, 作品信息: [美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元, 得分：8.8
书名: 万水千山走遍, 作品信息: 三毛 / 哈尔滨出版社 / 2003-08 / 13.80, 得分：8.9
书名: 草房子, 作品信息: 曹文轩 / 江苏少年儿童出版社 / 2009-6 / 18.00元, 得分：9.0
书名: 全球通史(上), 作品信息: [美]斯塔夫里阿诺斯 / 吴象婴 / 北京大学出版社 / 2006-1-10 / 42.00, 得分：9.2
书名: 德米安, 作品信息: [德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元, 得分：8.9
书名: 史蒂夫·乔布斯传, 作品信息: [美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元, 得分：8.8
书名: 不能承受的生命之轻, 作品信息: 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2010-8 / 29.00元, 得分：8.8
书名: 亮剑, 作品信息: 都梁 / 解放军文艺出版社 / 2005-3 / 28.00元, 得分：9.0
书名: 球状闪电, 作品信息: 刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元, 得分：8.7
书名: 半生缘, 作品信息: 张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.60元, 得分：9.1
书名: 翦商, 作品信息: 李硕 / 广西师范大学出版社 / 2022-10 / 99.00元, 得分：9.0
书名: 霸王别姬, 作品信息: 李碧华 / 人民文学出版社 / 1999-1 / 10.20元, 得分：9.1
书名: 我不知道该说什么，关于死亡还是爱情, 作品信息: [白俄] S·A·阿列克谢耶维奇 / 方祖芳 / 花城出版社 / 2014-6-15 / 34.80元, 得分：9.1
书名: 古文观止, 作品信息: 吴楚材 / 中华书局 / 1987-1-1 / 21.00元, 得分：9.1
书名: 冰与火之歌, 作品信息: [美]乔治·R.R.马丁 / 谭光磊 / 重庆出版社 / 2013-10-1 / 330.00元, 得分：9.5
书名: 恶意, 作品信息: [日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11 / 39.50元, 得分：8.7
书名: 我的阿勒泰, 作品信息: 李娟 / 云南人民出版社 / 2010-7 / 25.00元, 得分：8.9
书名: 天朝的崩溃, 作品信息: 茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元, 得分：9.4
书名: 生死疲劳, 作品信息: 莫言 / 浙江文艺出版社 / 2022-1 / 69.90, 得分：9.0
书名: 社会心理学, 作品信息: [美] 戴维·迈尔斯 / 张智勇 / 人民邮电出版社 / 2006-1 / 68.00元, 得分：9.0
书名: 东晋门阀政治, 作品信息: 田余庆 / 北京大学出版社 / 2012-5 / 49.00元, 得分：9.5
书名: 明亮的夜晚, 作品信息: [韩]崔恩荣 / 叶蕾 / 台海出版社 / 2023-8 / 52, 得分：9.0
书名: 倾城之恋, 作品信息: 张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.80元, 得分：8.9
书名: 我也有一个梦想, 作品信息: 林达 / 生活·读书·新知三联书店 / 2004-08 / 25.00元, 得分：9.0
